,Title,Description
129,Introduction to Operating Systems,"Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations."
130,Web Accessibility,"Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement."
131,Android Basics: Data Storage,"In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!"
132,Scalable Microservices with Kubernetes,"This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower."
133,Developing Android Apps with Kotlin,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.
134,Browser Rendering Optimization,This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.
135,Learn Swift Programming Syntax,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps."
136,Offline Web Applications,Learn how to develop offline-first web application using Service Workers and IndexedDB.
137,Kotlin for Android Developers,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way."
138,UX Design for Mobile Developers,This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.
139,Software Development Process,"Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general."
140,Data Visualization in Tableau,Learn the fundamentals of data visualization and practice communicating with data.
141,Intro to Progressive Web Apps,In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!
142,Writing READMEs,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!
143,Software Analysis & Testing,"This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging."
144,iOS Persistence and Core Data,"Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data."
145,Computer Networking,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.
146,Firebase Analytics: iOS,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution"
147,Human-Computer Interaction,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI."
148,2D Game Development with libGDX,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles."
149,Intro to jQuery,Learn how to access and modify the DOM with ease using jQuery!
150,Cyber-Physical Systems Security,This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.
151,How to create <anything> in Android,Learn to implement the newest Android user interface components while building apps in Android Studio.
152,Introduction to Graduate Algorithms,Learn advanced techniques for designing algorithms and apply them to hard computational problems.
153,Dynamic Web Applications with Sinatra,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating."
154,How to Make a Platformer Using libGDX,"This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies."
155,JavaScript Testing,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.
157,Localization Essentials,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market."
158,Compilers: Theory and Practice,This course teaches the theory and practice behind building compilers for higher level programming languages.
159,HTML5 Canvas,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.
160,Object Oriented Programming in Java,Learn how to apply powerful object-oriented programming concepts in Java
161,Designing RESTful APIs,Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.
162,GT - Refresher - Advanced OS,"This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT ""Advanced Operating Systems"" sequence."
163,Intro to JavaScript,"Learn the fundamentals of JavaScript, the most popular programming language in web development."
164,Grand Central Dispatch (GCD),Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.
165,Continuous Integration and Deployment,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment."
166,Swift for Beginners,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift."
167,Intro to Statistics,"Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged."
168,Intro to HTML and CSS,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools."
169,Introduction to Python Programming,"In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries."
170,Introduction to Virtual Reality,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR."
171,Objective-C for Swift Developers,"Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods."
172,Interactive 3D Graphics,"This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser."
173,Full Stack Foundations,Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.
174,High Performance Computer Architecture,"The HPCA course covers performance measurement, pipelining, and improved parallelism through various means."
175,AutoLayout,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs."
176,Kotlin Bootcamp for Programmers,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.
177,Shell Workshop,"This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs."
178,Core ML: Machine Learning for iOS,Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.
179,Statistics,We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.
180,Intro to Theoretical Computer Science,Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.
181,Design of Computer Programs,"Learn how to model problems, and how to optimize performance by using some of the advanced features of Python."
182,Data Wrangling with MongoDB,"Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need."
183,Swift for Developers,Get a quick practical introduction to Swift programming basics and build your first iOS app!
184,Firebase in a Weekend: Android,This course will teach you when and why to choose Firebase as a backend for your Android application.
185,Software Debugging,In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.
186,Deploying a Hadoop Cluster,Deploy your own Hadoop cluster to crunch some big data!
187,Server-Side Swift,"In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications."
188,Networking for Web Developers,You've used the Internet. Now find out more about how it works.
189,Database Systems Concepts & Design,This course presents an example of applying a database application development methodology to a major real-world project.
190,Intro to Physics,"Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics."
191,Intro to Relational Databases,Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.
192,ES6 - JavaScript Improved,Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.
193,Mobile Design and Usability for iOS,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release."
194,Intro to AJAX,"Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!"
195,Intro to Algorithms,"This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected."
196,The MVC Pattern in Ruby,"In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra."
197,WeChat Mini Program Development,"Developed by Tencent and Udacity, this course will teach you to build your first Mini Program."
198,Asynchronous JavaScript Requests,Learn how to asynchronously request data in your web applications with Ajax.
199,Embedded Systems,"This course takes a holistic view of the embedded system stack focusing on processor architectures, instruction sets, and the associated advanced compiler optimizations."
200,High Performance Computing,"This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220"
201,HTTP & Web Servers,HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.
202,Advanced Android with Kotlin,Develop Feature-Rich Android Apps with the Kotlin Programming Language.
203,"Computability, Complexity & Algorithms",Learn tools and techniques that will help you recognize when problems you encounter are intractable and when there an efficient solution.
205,Passwordless Login Solutions for iOS,"In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API."
206,Version Control with Git,"Learn how to use Git, a popular Version Control System and essential tool for any developer."
207,Firebase in a Weekend: iOS,This course will teach you when and why to choose Firebase as a backend for your iOS application.
208,Intro to Point & Click App Development,In this short class you'll build powerful apps without writing code. Great if you're an aspiring developer or someone who wants to learn what programmers do.
209,Deploying Applications with Heroku,Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.
210,Applied Cryptography,"Cryptography is present in everyday life, from paying with a credit card to using the telephone.  Learn all about making and breaking puzzles in computing."
211,Java Programming Basics,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions."
212,C++ For Programmers,"This course teaches C++ to students already familiar with a programming language. Students will learn how to use header files, control flow, functions, classes."
213,Intro to Backend,Learn to build a multiuser blog with Google App Engine that permits users to sign in
214,Network Security,"This course provides an introduction to computer and network security. Students successfully completing this class will be able to evaluate works in academic and commercial security, and will have rudimentary skills in security research."
216,Firebase Analytics: Android,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution"
218,How to Make an iOS App,"Learn the process of building an app, taking your ideas from drawing board to App Store!"
219,Google Maps APIs,This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.
221,Mobile Design and Usability for Android,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release."
222,iOS Design Patterns,"In this course, you'll explore iOS design patterns — the practical and battle-tested solutions to common problems that are used everyday by developers."
223,Intro to Psychology,Go on a journey through psychological concepts and principles to enable you to gain a more in-depth understanding of human thought and behavior.
224,Engagement & Monetization | Mobile Games,"You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store."
225,Intro to Data Analysis,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib."
226,SQL for Data Analysis,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases
227,Intro to Inferential Statistics,Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!
228,Spark,Master how to work with big data and build machine learning models at scale using Spark!
229,Data Analysis and Visualization,"This course will introduce students to the field by covering state­-of-­the-art modeling, analysis and visualization techniques."
230,Introduction to Digital Project Management,"This course introduces the field of digital project management, while diving into relevant career paths and what exactly those paths entail. It also covers the basic structure on which digital projects are formed."
231,Getting Started with Google Workspace,"Learn how to manage mail and schedules effectively. Create, manage and, share content in Google Drive and become more productive through the use of the collaboration features that are an integral and defining part of Google Workspace."
232,Rapid Prototyping,Learning to prototype will save you time and money in the development process. You’ll create quality apps faster and have confidence in the viability of your products.
233,Creating an Analytical Dataset,Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.
234,Problem Solving with Advanced Analytics,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context."
235,Classification Models,Learn how to use classification predictive models to solve business problems involving non-numeric data.
236,Product Design,"Learn product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics."
237,Segmentation and Clustering,The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.
238,Time Series Forecasting,The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.
239,App Marketing,"This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs."
240,App Monetization,"Learn how to effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate."
241,A/B Testing for Business Analysts,The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.
242,How to Build a Startup,"Learn what it takes to build a successful startup using the Customer Development process, where entrepreneurs ""get out of the building"" to gather and iterate on feedback."
243,Get Your Startup Started,Acquire the know-how necessary to see your business grow towards its next milestone.
244,Managing Remote Teams with Upwork,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.
245,Oracle Autonomous Database Administration,"Dive into the fundamentals of autonomous databases. Explore the process of planning, implementing, and deploying an Oracle Autonomous Database, the first and only autonomous database service in the cloud."
246,Oracle Cloud Infrastructure Architect Associate,Develop key insights into key concepts and features of Oracle Cloud Infrastructure (OCI).
247,Oracle Cloud Infrastructure Architect Professional,This course will help you gain strong knowledge through hands-on experience with architecting infrastructure using Oracle Cloud Infrastructure services.
248,Oracle Cloud Infrastructure Foundations,Develop foundational knowledge of Oracle Cloud Infrastructure Cloud Services.
249,Oracle Cloud Infrastructure Operations Professional,This course is going to walk you through some of the day-to-day operational activities that you might find yourself managing in the Oracle Cloud Infrastructure ecosystem.
250,Google Cloud Digital Leader Training,Gain foundational literacy in cloud & digital transformation. Increase your cloud confidence so you can speak with colleagues in technical cloud roles and contribute to informed cloud-related business decisions.
251,Cloud Native Fundamentals,"Throughout this course, students will learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline."
252,Cyber-Physical Systems Design & Analysis,This course provides an introduction to cyber-physical systems with an industrial perspective.
253,Differential Equations in Action,"Write Python code to find numerical solutions to systems of differential equations. The models you create will fight wildfires, bring spaceships back to earth, and more!"
254,Self-Driving Fundamentals: Featuring Apollo ,"Identify key parts of self-driving cars, utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. "
255,Product Manager Interview Preparation,"Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions."
256,Craft Your Cover Letter,Write a compelling narrative that showcases your value to the company.
257,Refresh Your Resume,Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.
258,Strengthen Your LinkedIn Network & Brand,Learn how to excel at networking both in-person and on LinkedIn.
259,Data Science Interview Prep,"Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions."
260,Android Interview Prep,Learn how to respond to common Android and mobile development interview questions.
261,Machine Learning Interview Preparation,"In this course, you’ll learn exactly what to expect during a machine learning interview."
262,Front-End Interview Prep,Answer front-end technical and behavioral interview questions with confidence and poise.
263,Full-Stack Interview Prep,Answer common full stack and web security interview questions with confidence and poise.
264,Data Structures & Algorithms in Swift,Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.
265,iOS Interview Prep,Answer iOS and mobile development interview questions with confidence and poise.
266,VR Interview Prep,Learn how to tackle interview questions for technical roles in VR Development.
